day_ahead	intra_day
81.55	81.87
85.00	78.00
84.80	80.32
73.70	72.85
74.60	72.09
71.00	70.00
77.00	72.46
70.00	70.52
73.00	70.52
70.10	68.66
72.00	72.09
66.90	69.50
74.00	71.00
79.00	75.62
84.00	79.00
80.00	75.00
84.00	81.00
96.20	100.00
96.00	106.34
100.80	109.00
108.60	109.00
105.20	106.27
107.60	109.00
104.90	106.27
98.10	102.00
93.50	102.00
100.20	104.00
97.60	98.00
96.40	101.40
82.80	84.00
78.90	77.30
78.00	75.00
76.00	75.00
78.00	78.00
77.50	86.00
104.50	116.50
98.00	100.00
105.20	107.00
105.20	105.00
105.20	105.00
102.20	101.30
88.00	87.00
87.00	85.70
76.30	76.30
80.20	81.46
81.50	79.73
84.90	82.00
77.00	79.74














